,0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.15,0.15,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,0.3,0.35,0.35,0.35,0.35,0.35,0.4,0.4,0.4,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5
,1,3,5,7,10,1,3,5,7,10,1,3,5,7,10,1,3,5,7,10,1,3,5,7,10,1,3,5,7,10,1,3,5,7,10,1,3,5,7,10,1,3,5,7,10
accuracy,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9852941176470589,0.9705882352941176,0.9852941176470589,0.9852941176470589,0.9705882352941176,0.9733333333333334,0.9733333333333334,0.9466666666666667,0.9466666666666667,0.9466666666666667
